location,date,variant,num_sequences,perc_sequences,num_sequences_total
Brazil,11/5/2020,B.1.1.277,,,307
Brazil,11/5/2020,B.1.1.519,0,0,307
Brazil,11/5/2020,B.1.367,,,307
Brazil,11/5/2020,B.1.177,0,0,307
Brazil,11/5/2020,Beta,0,0,307
Brazil,11/5/2020,Alpha,0,0,307
Brazil,11/5/2020,Gamma,0,0,307
Brazil,11/5/2020,Delta,0,0,307
Brazil,11/5/2020,Kappa,,,307
Brazil,11/5/2020,Epsilon,,,307
Brazil,11/5/2020,Eta,0,0,307
Brazil,11/5/2020,Iota,,,307
Brazil,11/5/2020,Lambda,0,0,307
Brazil,11/5/2020,Mu,0,0,307
Brazil,11/5/2020,S:677P.Pelican,,,307
Brazil,11/5/2020,S:677H.Robin1,,,307
Brazil,11/5/2020,others,307,100,307
Brazil,11/5/2020,non_who,307,100,307
Canada,11/5/2020,B.1.160,0,0,881
Canada,11/5/2020,B.1.620,0,0,881
Canada,11/5/2020,B.1.258,0,0,881
Canada,11/5/2020,B.1.221,0,0,881
Canada,11/5/2020,B.1.1.302,,,881
Canada,11/5/2020,B.1.1.277,,,881
Canada,11/5/2020,B.1.1.519,0,0,881
Canada,11/5/2020,B.1.367,,,881
Canada,11/5/2020,B.1.177,0,0,881
Canada,11/5/2020,Beta,0,0,881
Canada,11/5/2020,Alpha,0,0,881
Canada,11/5/2020,Gamma,0,0,881
Canada,11/5/2020,Delta,0,0,881
Canada,11/5/2020,Kappa,0,0,881
Canada,11/5/2020,Epsilon,0,0,881
Canada,11/5/2020,Eta,0,0,881
Canada,11/5/2020,Iota,0,0,881
Canada,11/5/2020,Lambda,0,0,881
Canada,11/5/2020,Mu,0,0,881
Canada,11/5/2020,S:677P.Pelican,0,0,881
Canada,11/5/2020,S:677H.Robin1,0,0,881
Canada,11/5/2020,others,881,100,881
Canada,11/5/2020,non_who,881,100,881
Chile,11/5/2020,B.1.160,,,106
Chile,11/5/2020,B.1.620,,,106
Chile,11/5/2020,B.1.258,,,106
Chile,11/5/2020,B.1.221,,,106
Chile,11/5/2020,B.1.1.302,,,106
Chile,11/5/2020,B.1.1.277,,,106
Chile,11/5/2020,B.1.1.519,0,0,106
Chile,11/5/2020,B.1.367,,,106
Chile,11/5/2020,B.1.177,,,106
Chile,11/5/2020,Beta,0,0,106
Chile,11/5/2020,Alpha,0,0,106
Chile,11/5/2020,Gamma,0,0,106
Chile,11/5/2020,Delta,0,0,106
Chile,11/5/2020,Kappa,,,106
Chile,11/5/2020,Epsilon,0,0,106
Chile,11/5/2020,Eta,,,106
Chile,11/5/2020,Iota,0,0,106
Chile,11/5/2020,Lambda,0,0,106
Chile,11/5/2020,Mu,0,0,106
Chile,11/5/2020,S:677P.Pelican,0,0,106
Chile,11/5/2020,S:677H.Robin1,,,106
Chile,11/5/2020,others,106,100,106
Chile,11/5/2020,non_who,106,100,106
Colombia,11/5/2020,B.1.160,,,81
Colombia,11/5/2020,B.1.620,,,81
Colombia,11/5/2020,B.1.258,,,81
Colombia,11/5/2020,B.1.221,,,81
Colombia,11/5/2020,B.1.1.302,,,81
Colombia,11/5/2020,B.1.1.277,0,0,81
Colombia,11/5/2020,B.1.1.519,0,0,81
Colombia,11/5/2020,B.1.367,,,81
Colombia,11/5/2020,B.1.177,0,0,81
Colombia,11/5/2020,Beta,,,81
Colombia,11/5/2020,Alpha,0,0,81
Colombia,11/5/2020,Gamma,0,0,81
Colombia,11/5/2020,Delta,0,0,81
Colombia,11/5/2020,Kappa,,,81
Colombia,11/5/2020,Epsilon,0,0,81
Colombia,11/5/2020,Eta,,,81
Colombia,11/5/2020,Iota,0,0,81
Colombia,11/5/2020,Lambda,0,0,81
Colombia,11/5/2020,Mu,0,0,81
Colombia,11/5/2020,S:677P.Pelican,0,0,81
Colombia,11/5/2020,S:677H.Robin1,,,81
Colombia,11/5/2020,others,81,100,81
Colombia,11/5/2020,non_who,81,100,81
Denmark,11/5/2020,B.1.160,0,0,155
Denmark,11/5/2020,B.1.620,,,155
Denmark,11/5/2020,B.1.258,0,0,155
Denmark,11/5/2020,B.1.221,0,0,155
Denmark,11/5/2020,B.1.1.302,0,0,155
Denmark,11/5/2020,B.1.1.277,0,0,155
Denmark,11/5/2020,B.1.1.519,0,0,155
Denmark,11/5/2020,B.1.367,0,0,155
Denmark,11/5/2020,B.1.177,0,0,155
Denmark,11/5/2020,Beta,0,0,155
Denmark,11/5/2020,Alpha,0,0,155
Denmark,11/5/2020,Gamma,0,0,155
Denmark,11/5/2020,Delta,0,0,155
Denmark,11/5/2020,Kappa,0,0,155
Denmark,11/5/2020,Epsilon,0,0,155
Denmark,11/5/2020,Eta,0,0,155
Denmark,11/5/2020,Iota,0,0,155
Denmark,11/5/2020,Lambda,0,0,155
Denmark,11/5/2020,Mu,0,0,155
Denmark,11/5/2020,S:677P.Pelican,0,0,155
Denmark,11/5/2020,S:677H.Robin1,,,155
Denmark,11/5/2020,others,155,100,155
Denmark,11/5/2020,non_who,155,100,155
Finland,11/5/2020,B.1.160,0,0,102
Finland,11/5/2020,B.1.620,0,0,102
Finland,11/5/2020,B.1.258,0,0,102
Finland,11/5/2020,B.1.221,0,0,102
Finland,11/5/2020,B.1.1.302,0,0,102
Finland,11/5/2020,B.1.1.277,0,0,102
Finland,11/5/2020,B.1.1.519,0,0,102
Finland,11/5/2020,B.1.367,,,102
Finland,11/5/2020,B.1.177,0,0,102
Finland,11/5/2020,Beta,0,0,102
Finland,11/5/2020,Alpha,0,0,102
Finland,11/5/2020,Gamma,0,0,102
Finland,11/5/2020,Delta,0,0,102
Finland,11/5/2020,Kappa,0,0,102
Finland,11/5/2020,Epsilon,0,0,102
Finland,11/5/2020,Eta,0,0,102
Finland,11/5/2020,Iota,,,102
Finland,11/5/2020,Lambda,,,102
Finland,11/5/2020,Mu,0,0,102
Finland,11/5/2020,S:677P.Pelican,,,102
Finland,11/5/2020,S:677H.Robin1,,,102
Finland,11/5/2020,others,102,100,102
Finland,11/5/2020,non_who,102,100,102
France,11/5/2020,B.1.160,0,0,199
France,11/5/2020,B.1.620,0,0,199
France,11/5/2020,B.1.258,0,0,199
France,11/5/2020,B.1.221,0,0,199
France,11/5/2020,B.1.1.302,,,199
France,11/5/2020,B.1.1.277,0,0,199
France,11/5/2020,B.1.1.519,0,0,199
France,11/5/2020,B.1.367,0,0,199
France,11/5/2020,B.1.177,2,1.01,199
France,11/5/2020,Beta,0,0,199
France,11/5/2020,Alpha,0,0,199
France,11/5/2020,Gamma,0,0,199
France,11/5/2020,Delta,0,0,199
France,11/5/2020,Kappa,0,0,199
France,11/5/2020,Epsilon,0,0,199
France,11/5/2020,Eta,0,0,199
France,11/5/2020,Iota,0,0,199
France,11/5/2020,Lambda,0,0,199
France,11/5/2020,Mu,0,0,199
France,11/5/2020,S:677P.Pelican,,,199
France,11/5/2020,S:677H.Robin1,,,199
France,11/5/2020,others,197,98.99,199
France,11/5/2020,non_who,199,100,199
Germany,11/5/2020,B.1.160,0,0,105
Germany,11/5/2020,B.1.620,0,0,105
Germany,11/5/2020,B.1.258,0,0,105
Germany,11/5/2020,B.1.221,0,0,105
Germany,11/5/2020,B.1.1.302,,,105
Germany,11/5/2020,B.1.1.277,0,0,105
Germany,11/5/2020,B.1.1.519,0,0,105
Germany,11/5/2020,B.1.367,0,0,105
Germany,11/5/2020,B.1.177,0,0,105
Germany,11/5/2020,Beta,0,0,105
Germany,11/5/2020,Alpha,0,0,105
Germany,11/5/2020,Gamma,0,0,105
Germany,11/5/2020,Delta,0,0,105
Germany,11/5/2020,Kappa,0,0,105
Germany,11/5/2020,Epsilon,0,0,105
Germany,11/5/2020,Eta,0,0,105
Germany,11/5/2020,Iota,0,0,105
Germany,11/5/2020,Lambda,0,0,105
Germany,11/5/2020,Mu,0,0,105
Germany,11/5/2020,S:677P.Pelican,,,105
Germany,11/5/2020,S:677H.Robin1,,,105
Germany,11/5/2020,others,105,100,105
Germany,11/5/2020,non_who,105,100,105
India,11/5/2020,B.1.160,0,0,471
India,11/5/2020,B.1.620,0,0,471
India,11/5/2020,B.1.258,0,0,471
India,11/5/2020,B.1.221,,,471
India,11/5/2020,B.1.1.302,,,471
India,11/5/2020,B.1.1.277,,,471
India,11/5/2020,B.1.1.519,,,471
India,11/5/2020,B.1.367,,,471
India,11/5/2020,B.1.177,0,0,471
India,11/5/2020,Beta,0,0,471
India,11/5/2020,Alpha,0,0,471
India,11/5/2020,Gamma,0,0,471
India,11/5/2020,Delta,0,0,471
India,11/5/2020,Kappa,0,0,471
India,11/5/2020,Epsilon,0,0,471
India,11/5/2020,Eta,0,0,471
India,11/5/2020,Iota,0,0,471
India,11/5/2020,Lambda,,,471
India,11/5/2020,Mu,,,471
India,11/5/2020,S:677P.Pelican,0,0,471
India,11/5/2020,S:677H.Robin1,,,471
