country,country_code,year_week,source,new_cases,number_sequenced,percent_cases_sequenced,valid_denominator,variant,number_detections_variant,number_sequenced_known_variant,percent_variant
Czechia,CZ,2020-40,GISAID,17865,32,0.2,Yes,Other,32,32,100
Czechia,CZ,2020-40,TESSy,17865,43,0.2,Yes,Other,21,43,48.8
Denmark,DK,2020-40,GISAID,3043,434,14.3,Yes,Other,434,434,100
Estonia,EE,2020-40,GISAID,407,33,8.1,Yes,Other,32,32,100
Finland,FI,2020-40,GISAID,856,128,15,Yes,Other,128,128,100
France,FR,2020-40,GISAID,79885,203,0.3,Yes,Other,193,193,100
Germany,DE,2020-40,GISAID,15287,157,1,Yes,Other,153,153,100
Greece,EL,2020-40,GISAID,2398,12,0.5,Yes,Other,12,12,100
Greece,EL,2020-40,TESSy,2398,12,0.5,Yes,Other,12,12,100
Hungary,HU,2020-40,GISAID,6764,75,1.1,Yes,Other,75,75,100
Iceland,IS,2020-40,GISAID,298,298,100,Yes,Other,296,296,100
Ireland,IE,2020-40,GISAID,3042,16,0.5,Yes,Other,16,16,100
Ireland,IE,2020-40,TESSy,3042,11,0.4,Yes,Other,10,11,90.9
Italy,IT,2020-40,GISAID,15459,57,0.4,Yes,Other,57,57,100
Italy,IT,2020-40,TESSy,15459,309,2,Yes,Other,306,309,99
Latvia,LV,2020-40,GISAID,410,212,51.7,Yes,Other,212,212,100
Liechtenstein,LI,2020-40,GISAID,9,0,0,Yes,Other,0,0,
Lithuania,LT,2020-40,GISAID,800,3,0.4,Yes,Other,3,3,100
Luxembourg,LU,2020-40,GISAID,352,12,3.4,Yes,Other,12,12,100
Malta,MT,2020-40,GISAID,311,0,0,Yes,Other,0,0,
Netherlands,NL,2020-40,GISAID,24239,136,0.6,Yes,Other,136,136,100
Norway,NO,2020-40,GISAID,743,87,11.7,Yes,Other,87,87,100
Norway,NO,2020-40,TESSy,743,75,10.1,Yes,Other,75,75,100
Poland,PL,2020-40,GISAID,10810,2,0,Yes,Other,2,2,100
Portugal,PT,2020-40,GISAID,4643,0,0,Yes,Other,0,0,
Portugal,PT,2020-40,TESSy,4643,1,0,No,Other,1,1,
Romania,RO,2020-40,GISAID,11392,4,0,Yes,Other,4,4,100
Slovakia,SK,2020-40,GISAID,4238,0,0,Yes,Other,0,0,
Slovenia,SI,2020-40,GISAID,1277,98,7.7,Yes,Other,98,98,100
