country,country_code,year_week,source,new_cases,number_sequenced,percent_cases_sequenced,valid_denominator,variant,number_detections_variant,number_sequenced_known_variant,percent_variant
Germany,DE,2021-01,GISAID,145511,484,0.3,Yes,AT.1,0,482,0
Greece,EL,2021-01,GISAID,4639,48,1,Yes,AT.1,0,48,0
Hungary,HU,2021-01,GISAID,14805,8,0.1,Yes,AT.1,0,8,0
Iceland,IS,2021-01,GISAID,144,102,70.8,Yes,AT.1,0,100,0
Ireland,IE,2021-01,GISAID,45726,140,0.3,Yes,AT.1,0,140,0
Italy,IT,2021-01,GISAID,121045,383,0.3,Yes,AT.1,0,356,0
Latvia,LV,2021-01,GISAID,7071,3,0,Yes,AT.1,0,3,0
Liechtenstein,LI,2021-01,GISAID,124,0,0,Yes,AT.1,0,0,
Lithuania,LT,2021-01,GISAID,12459,122,1,Yes,AT.1,0,116,0
Luxembourg,LU,2021-01,GISAID,1065,114,10.7,Yes,AT.1,0,114,0
Malta,MT,2021-01,GISAID,1299,0,0,Yes,AT.1,0,0,
Netherlands,NL,2021-01,GISAID,57026,787,1.4,Yes,AT.1,0,786,0
Norway,NO,2021-01,GISAID,4758,265,5.6,Yes,AT.1,0,265,0
Poland,PL,2021-01,GISAID,67438,57,0.1,Yes,AT.1,0,57,0
Portugal,PT,2021-01,GISAID,57670,238,0.4,Yes,AT.1,0,237,0
Romania,RO,2021-01,GISAID,32842,13,0,Yes,AT.1,0,13,0
Slovakia,SK,2021-01,GISAID,42888,83,0.2,Yes,AT.1,0,83,0
Slovenia,SI,2021-01,GISAID,11716,120,1,Yes,AT.1,0,120,0
Spain,ES,2021-01,GISAID,152938,615,0.4,Yes,AT.1,0,587,0
Sweden,SE,2021-01,GISAID,39455,288,0.7,Yes,AT.1,0,287,0
Austria,AT,2021-01,GISAID,15133,159,1.1,Yes,B.1.1.7,48,130,36.9
Austria,AT,2021-01,TESSy,15133,263,1.7,Yes,B.1.1.7,137,263,52.1
Belgium,BE,2021-01,GISAID,14920,287,1.9,Yes,B.1.1.7,64,287,22.3
Bulgaria,BG,2021-01,GISAID,5460,56,1,Yes,B.1.1.7,20,56,35.7
Croatia,HR,2021-01,GISAID,7265,11,0.2,Yes,B.1.1.7,0,11,0
Cyprus,CY,2021-01,GISAID,3100,0,0,Yes,B.1.1.7,0,0,
Cyprus,CY,2021-01,TESSy,3100,43,1.4,Yes,B.1.1.7,3,43,7
Czechia,CZ,2021-01,GISAID,88893,201,0.2,Yes,B.1.1.7,75,200,37.5
Czechia,CZ,2021-01,TESSy,88893,208,0.2,Yes,B.1.1.7,159,208,76.4
Denmark,DK,2021-01,GISAID,14014,4139,29.5,Yes,B.1.1.7,156,4139,3.8
Estonia,EE,2021-01,GISAID,4284,4,0.1,Yes,B.1.1.7,0,4,0
Finland,FI,2021-01,GISAID,1671,124,7.4,Yes,B.1.1.7,9,122,7.4
Finland,FI,2021-01,TESSy,1671,201,12,Yes,B.1.1.7,49,201,24.4
France,FR,2021-01,GISAID,123772,646,0.5,Yes,B.1.1.7,202,640,31.6
Germany,DE,2021-01,GISAID,145511,484,0.3,Yes,B.1.1.7,7,482,1.5
Germany,DE,2021-01,TESSy,145511,5,0,Yes,B.1.1.7,5,5,100
Greece,EL,2021-01,GISAID,4639,48,1,Yes,B.1.1.7,9,48,18.8
Greece,EL,2021-01,TESSy,4639,121,2.6,Yes,B.1.1.7,32,120,26.7
Hungary,HU,2021-01,GISAID,14805,8,0.1,Yes,B.1.1.7,6,8,75
Iceland,IS,2021-01,GISAID,144,102,70.8,Yes,B.1.1.7,14,100,14
Ireland,IE,2021-01,GISAID,45726,140,0.3,Yes,B.1.1.7,73,140,52.1
Ireland,IE,2021-01,TESSy,45726,140,0.3,Yes,B.1.1.7,71,140,50.7
Italy,IT,2021-01,GISAID,121045,383,0.3,Yes,B.1.1.7,92,356,25.8
Italy,IT,2021-01,TESSy,121045,738,0.6,Yes,B.1.1.7,121,738,16.4
Latvia,LV,2021-01,GISAID,7071,3,0,Yes,B.1.1.7,0,3,0
Latvia,LV,2021-01,TESSy,7071,40,0.6,Yes,B.1.1.7,5,40,12.5
Liechtenstein,LI,2021-01,GISAID,124,0,0,Yes,B.1.1.7,0,0,
Lithuania,LT,2021-01,GISAID,12459,122,1,Yes,B.1.1.7,0,116,0
Lithuania,LT,2021-01,TESSy,12459,0,0,Yes,B.1.1.7,0,0,
Luxembourg,LU,2021-01,GISAID,1065,114,10.7,Yes,B.1.1.7,11,114,9.6
Luxembourg,LU,2021-01,TESSy,1065,104,9.8,Yes,B.1.1.7,9,104,8.7
Malta,MT,2021-01,GISAID,1299,0,0,Yes,B.1.1.7,0,0,
Netherlands,NL,2021-01,GISAID,57026,787,1.4,Yes,B.1.1.7,111,786,14.1
Netherlands,NL,2021-01,TESSy,57026,356,0.6,Yes,B.1.1.7,45,356,12.6
Norway,NO,2021-01,GISAID,4758,265,5.6,Yes,B.1.1.7,30,265,11.3
Norway,NO,2021-01,TESSy,4758,460,9.7,Yes,B.1.1.7,70,460,15.2
Poland,PL,2021-01,GISAID,67438,57,0.1,Yes,B.1.1.7,1,57,1.8
Poland,PL,2021-01,TESSy,67438,2,0,Yes,B.1.1.7,1,2,50
Portugal,PT,2021-01,GISAID,57670,238,0.4,Yes,B.1.1.7,37,237,15.6
Portugal,PT,2021-01,TESSy,57670,415,0.7,Yes,B.1.1.7,335,415,80.7
Romania,RO,2021-01,GISAID,32842,13,0,Yes,B.1.1.7,2,13,15.4
Romania,RO,2021-01,TESSy,32842,68,0.2,Yes,B.1.1.7,4,68,5.9
Slovakia,SK,2021-01,GISAID,42888,83,0.2,Yes,B.1.1.7,39,83,47
Slovenia,SI,2021-01,GISAID,11716,120,1,Yes,B.1.1.7,1,120,0.8
Slovenia,SI,2021-01,TESSy,11716,174,1.5,Yes,B.1.1.7,1,174,0.6
Spain,ES,2021-01,GISAID,152938,615,0.4,Yes,B.1.1.7,256,587,43.6
Spain,ES,2021-01,TESSy,152938,681,0.4,Yes,B.1.1.7,289,643,44.9
Sweden,SE,2021-01,GISAID,39455,288,0.7,Yes,B.1.1.7,58,287,20.2
Sweden,SE,2021-01,TESSy,39455,344,0.9,Yes,B.1.1.7,42,344,12.2
Austria,AT,2021-01,GISAID,15133,159,1.1,Yes,B.1.1.7+E484K,0,130,0
Belgium,BE,2021-01,GISAID,14920,287,1.9,Yes,B.1.1.7+E484K,0,287,0
Bulgaria,BG,2021-01,GISAID,5460,56,1,Yes,B.1.1.7+E484K,0,56,0
Croatia,HR,2021-01,GISAID,7265,11,0.2,Yes,B.1.1.7+E484K,0,11,0
Cyprus,CY,2021-01,GISAID,3100,0,0,Yes,B.1.1.7+E484K,0,0,
Czechia,CZ,2021-01,GISAID,88893,201,0.2,Yes,B.1.1.7+E484K,0,200,0
Denmark,DK,2021-01,GISAID,14014,4139,29.5,Yes,B.1.1.7+E484K,0,4139,0
Estonia,EE,2021-01,GISAID,4284,4,0.1,Yes,B.1.1.7+E484K,0,4,0
Finland,FI,2021-01,GISAID,1671,124,7.4,Yes,B.1.1.7+E484K,0,122,0
France,FR,2021-01,GISAID,123772,646,0.5,Yes,B.1.1.7+E484K,0,640,0
Germany,DE,2021-01,GISAID,145511,484,0.3,Yes,B.1.1.7+E484K,0,482,0
Greece,EL,2021-01,GISAID,4639,48,1,Yes,B.1.1.7+E484K,0,48,0
Hungary,HU,2021-01,GISAID,14805,8,0.1,Yes,B.1.1.7+E484K,0,8,0
Iceland,IS,2021-01,GISAID,144,102,70.8,Yes,B.1.1.7+E484K,0,100,0
Ireland,IE,2021-01,GISAID,45726,140,0.3,Yes,B.1.1.7+E484K,0,140,0
Italy,IT,2021-01,GISAID,121045,383,0.3,Yes,B.1.1.7+E484K,0,356,0
Latvia,LV,2021-01,GISAID,7071,3,0,Yes,B.1.1.7+E484K,0,3,0
Latvia,LV,2021-01,TESSy,7071,40,0.6,Yes,B.1.1.7+E484K,0,40,0
Liechtenstein,LI,2021-01,GISAID,124,0,0,Yes,B.1.1.7+E484K,0,0,
Lithuania,LT,2021-01,GISAID,12459,122,1,Yes,B.1.1.7+E484K,0,116,0
Lithuania,LT,2021-01,TESSy,12459,0,0,Yes,B.1.1.7+E484K,0,0,
Luxembourg,LU,2021-01,GISAID,1065,114,10.7,Yes,B.1.1.7+E484K,0,114,0
Malta,MT,2021-01,GISAID,1299,0,0,Yes,B.1.1.7+E484K,0,0,
Netherlands,NL,2021-01,GISAID,57026,787,1.4,Yes,B.1.1.7+E484K,0,786,0
Norway,NO,2021-01,GISAID,4758,265,5.6,Yes,B.1.1.7+E484K,0,265,0
Poland,PL,2021-01,GISAID,67438,57,0.1,Yes,B.1.1.7+E484K,0,57,0
Portugal,PT,2021-01,GISAID,57670,238,0.4,Yes,B.1.1.7+E484K,0,237,0
Romania,RO,2021-01,GISAID,32842,13,0,Yes,B.1.1.7+E484K,0,13,0
Romania,RO,2021-01,TESSy,32842,68,0.2,Yes,B.1.1.7+E484K,0,68,0
Slovakia,SK,2021-01,GISAID,42888,83,0.2,Yes,B.1.1.7+E484K,0,83,0
Slovenia,SI,2021-01,GISAID,11716,120,1,Yes,B.1.1.7+E484K,0,120,0
Spain,ES,2021-01,GISAID,152938,615,0.4,Yes,B.1.1.7+E484K,0,587,0
Sweden,SE,2021-01,GISAID,39455,288,0.7,Yes,B.1.1.7+E484K,0,287,0
Sweden,SE,2021-01,TESSy,39455,344,0.9,Yes,B.1.1.7+E484K,1,344,0.3
Austria,AT,2021-01,GISAID,15133,159,1.1,Yes,B.1.351,0,130,0
Austria,AT,2021-01,TESSy,15133,263,1.7,Yes,B.1.351,6,263,2.3
Belgium,BE,2021-01,GISAID,14920,287,1.9,Yes,B.1.351,5,287,1.7
Bulgaria,BG,2021-01,GISAID,5460,56,1,Yes,B.1.351,0,56,0
Croatia,HR,2021-01,GISAID,7265,11,0.2,Yes,B.1.351,0,11,0
Cyprus,CY,2021-01,GISAID,3100,0,0,Yes,B.1.351,0,0,
Czechia,CZ,2021-01,GISAID,88893,201,0.2,Yes,B.1.351,0,200,0
Denmark,DK,2021-01,GISAID,14014,4139,29.5,Yes,B.1.351,1,4139,0
Estonia,EE,2021-01,GISAID,4284,4,0.1,Yes,B.1.351,0,4,0
Finland,FI,2021-01,GISAID,1671,124,7.4,Yes,B.1.351,3,122,2.5
Finland,FI,2021-01,TESSy,1671,201,12,Yes,B.1.351,11,201,5.5
France,FR,2021-01,GISAID,123772,646,0.5,Yes,B.1.351,6,640,0.9
Germany,DE,2021-01,GISAID,145511,484,0.3,Yes,B.1.351,4,482,0.8
Greece,EL,2021-01,GISAID,4639,48,1,Yes,B.1.351,0,48,0
Hungary,HU,2021-01,GISAID,14805,8,0.1,Yes,B.1.351,0,8,0
Iceland,IS,2021-01,GISAID,144,102,70.8,Yes,B.1.351,0,100,0
Ireland,IE,2021-01,GISAID,45726,140,0.3,Yes,B.1.351,1,140,0.7
Ireland,IE,2021-01,TESSy,45726,140,0.3,Yes,B.1.351,1,140,0.7
Italy,IT,2021-01,GISAID,121045,383,0.3,Yes,B.1.351,0,356,0
Latvia,LV,2021-01,GISAID,7071,3,0,Yes,B.1.351,0,3,0
Latvia,LV,2021-01,TESSy,7071,40,0.6,Yes,B.1.351,0,40,0
Liechtenstein,LI,2021-01,GISAID,124,0,0,Yes,B.1.351,0,0,
Lithuania,LT,2021-01,GISAID,12459,122,1,Yes,B.1.351,0,116,0
Lithuania,LT,2021-01,TESSy,12459,0,0,Yes,B.1.351,0,0,
Luxembourg,LU,2021-01,GISAID,1065,114,10.7,Yes,B.1.351,1,114,0.9
Malta,MT,2021-01,GISAID,1299,0,0,Yes,B.1.351,0,0,
Netherlands,NL,2021-01,GISAID,57026,787,1.4,Yes,B.1.351,6,786,0.8
Norway,NO,2021-01,GISAID,4758,265,5.6,Yes,B.1.351,1,265,0.4
Poland,PL,2021-01,GISAID,67438,57,0.1,Yes,B.1.351,0,57,0
Portugal,PT,2021-01,GISAID,57670,238,0.4,Yes,B.1.351,2,237,0.8
Portugal,PT,2021-01,TESSy,57670,415,0.7,Yes,B.1.351,2,415,0.5
Romania,RO,2021-01,GISAID,32842,13,0,Yes,B.1.351,0,13,0
Romania,RO,2021-01,TESSy,32842,68,0.2,Yes,B.1.351,0,68,0
Slovakia,SK,2021-01,GISAID,42888,83,0.2,Yes,B.1.351,0,83,0
Slovenia,SI,2021-01,GISAID,11716,120,1,Yes,B.1.351,0,120,0
Slovenia,SI,2021-01,TESSy,11716,174,1.5,Yes,B.1.351,1,174,0.6
Spain,ES,2021-01,GISAID,152938,615,0.4,Yes,B.1.351,0,587,0
Sweden,SE,2021-01,GISAID,39455,288,0.7,Yes,B.1.351,1,287,0.3
Sweden,SE,2021-01,TESSy,39455,344,0.9,Yes,B.1.351,1,344,0.3
Austria,AT,2021-01,GISAID,15133,159,1.1,Yes,B.1.427/B.1.429,0,130,0
Belgium,BE,2021-01,GISAID,14920,287,1.9,Yes,B.1.427/B.1.429,0,287,0
Bulgaria,BG,2021-01,GISAID,5460,56,1,Yes,B.1.427/B.1.429,0,56,0
Croatia,HR,2021-01,GISAID,7265,11,0.2,Yes,B.1.427/B.1.429,0,11,0
Cyprus,CY,2021-01,GISAID,3100,0,0,Yes,B.1.427/B.1.429,0,0,
Czechia,CZ,2021-01,GISAID,88893,201,0.2,Yes,B.1.427/B.1.429,0,200,0
Denmark,DK,2021-01,GISAID,14014,4139,29.5,Yes,B.1.427/B.1.429,3,4139,0.1
Estonia,EE,2021-01,GISAID,4284,4,0.1,Yes,B.1.427/B.1.429,0,4,0
Finland,FI,2021-01,GISAID,1671,124,7.4,Yes,B.1.427/B.1.429,0,122,0
France,FR,2021-01,GISAID,123772,646,0.5,Yes,B.1.427/B.1.429,0,640,0
Germany,DE,2021-01,GISAID,145511,484,0.3,Yes,B.1.427/B.1.429,0,482,0
Greece,EL,2021-01,GISAID,4639,48,1,Yes,B.1.427/B.1.429,0,48,0
Hungary,HU,2021-01,GISAID,14805,8,0.1,Yes,B.1.427/B.1.429,0,8,0
Iceland,IS,2021-01,GISAID,144,102,70.8,Yes,B.1.427/B.1.429,0,100,0
Ireland,IE,2021-01,GISAID,45726,140,0.3,Yes,B.1.427/B.1.429,0,140,0
Italy,IT,2021-01,GISAID,121045,383,0.3,Yes,B.1.427/B.1.429,0,356,0
Latvia,LV,2021-01,GISAID,7071,3,0,Yes,B.1.427/B.1.429,0,3,0
Liechtenstein,LI,2021-01,GISAID,124,0,0,Yes,B.1.427/B.1.429,0,0,
Lithuania,LT,2021-01,GISAID,12459,122,1,Yes,B.1.427/B.1.429,0,116,0
Luxembourg,LU,2021-01,GISAID,1065,114,10.7,Yes,B.1.427/B.1.429,0,114,0
Malta,MT,2021-01,GISAID,1299,0,0,Yes,B.1.427/B.1.429,0,0,
Netherlands,NL,2021-01,GISAID,57026,787,1.4,Yes,B.1.427/B.1.429,0,786,0
Norway,NO,2021-01,GISAID,4758,265,5.6,Yes,B.1.427/B.1.429,0,265,0
Poland,PL,2021-01,GISAID,67438,57,0.1,Yes,B.1.427/B.1.429,0,57,0
Portugal,PT,2021-01,GISAID,57670,238,0.4,Yes,B.1.427/B.1.429,0,237,0
Romania,RO,2021-01,GISAID,32842,13,0,Yes,B.1.427/B.1.429,0,13,0
Slovakia,SK,2021-01,GISAID,42888,83,0.2,Yes,B.1.427/B.1.429,0,83,0
Slovenia,SI,2021-01,GISAID,11716,120,1,Yes,B.1.427/B.1.429,0,120,0
Spain,ES,2021-01,GISAID,152938,615,0.4,Yes,B.1.427/B.1.429,0,587,0
Sweden,SE,2021-01,GISAID,39455,288,0.7,Yes,B.1.427/B.1.429,0,287,0
Austria,AT,2021-01,GISAID,15133,159,1.1,Yes,B.1.525,0,130,0
Belgium,BE,2021-01,GISAID,14920,287,1.9,Yes,B.1.525,0,287,0
Bulgaria,BG,2021-01,GISAID,5460,56,1,Yes,B.1.525,0,56,0
Croatia,HR,2021-01,GISAID,7265,11,0.2,Yes,B.1.525,0,11,0
Cyprus,CY,2021-01,GISAID,3100,0,0,Yes,B.1.525,0,0,
Czechia,CZ,2021-01,GISAID,88893,201,0.2,Yes,B.1.525,0,200,0
Denmark,DK,2021-01,GISAID,14014,4139,29.5,Yes,B.1.525,0,4139,0
Estonia,EE,2021-01,GISAID,4284,4,0.1,Yes,B.1.525,0,4,0
Finland,FI,2021-01,GISAID,1671,124,7.4,Yes,B.1.525,1,122,0.8
France,FR,2021-01,GISAID,123772,646,0.5,Yes,B.1.525,2,640,0.3
Germany,DE,2021-01,GISAID,145511,484,0.3,Yes,B.1.525,0,482,0
Greece,EL,2021-01,GISAID,4639,48,1,Yes,B.1.525,0,48,0
Hungary,HU,2021-01,GISAID,14805,8,0.1,Yes,B.1.525,0,8,0
Iceland,IS,2021-01,GISAID,144,102,70.8,Yes,B.1.525,0,100,0
Ireland,IE,2021-01,GISAID,45726,140,0.3,Yes,B.1.525,0,140,0
Italy,IT,2021-01,GISAID,121045,383,0.3,Yes,B.1.525,1,356,0.3
Latvia,LV,2021-01,GISAID,7071,3,0,Yes,B.1.525,0,3,0
Liechtenstein,LI,2021-01,GISAID,124,0,0,Yes,B.1.525,0,0,
Lithuania,LT,2021-01,GISAID,12459,122,1,Yes,B.1.525,0,116,0
Luxembourg,LU,2021-01,GISAID,1065,114,10.7,Yes,B.1.525,0,114,0
Malta,MT,2021-01,GISAID,1299,0,0,Yes,B.1.525,0,0,
Netherlands,NL,2021-01,GISAID,57026,787,1.4,Yes,B.1.525,0,786,0
Norway,NO,2021-01,GISAID,4758,265,5.6,Yes,B.1.525,0,265,0
Poland,PL,2021-01,GISAID,67438,57,0.1,Yes,B.1.525,0,57,0
Portugal,PT,2021-01,GISAID,57670,238,0.4,Yes,B.1.525,0,237,0
Romania,RO,2021-01,GISAID,32842,13,0,Yes,B.1.525,0,13,0
Slovakia,SK,2021-01,GISAID,42888,83,0.2,Yes,B.1.525,0,83,0
Slovenia,SI,2021-01,GISAID,11716,120,1,Yes,B.1.525,0,120,0
Spain,ES,2021-01,GISAID,152938,615,0.4,Yes,B.1.525,0,587,0
Sweden,SE,2021-01,GISAID,39455,288,0.7,Yes,B.1.525,0,287,0
Austria,AT,2021-01,GISAID,15133,159,1.1,Yes,B.1.526,0,130,0
Belgium,BE,2021-01,GISAID,14920,287,1.9,Yes,B.1.526,0,287,0
Bulgaria,BG,2021-01,GISAID,5460,56,1,Yes,B.1.526,0,56,0
Croatia,HR,2021-01,GISAID,7265,11,0.2,Yes,B.1.526,0,11,0
Cyprus,CY,2021-01,GISAID,3100,0,0,Yes,B.1.526,0,0,
Czechia,CZ,2021-01,GISAID,88893,201,0.2,Yes,B.1.526,0,200,0
Denmark,DK,2021-01,GISAID,14014,4139,29.5,Yes,B.1.526,0,4139,0
Estonia,EE,2021-01,GISAID,4284,4,0.1,Yes,B.1.526,0,4,0
Finland,FI,2021-01,GISAID,1671,124,7.4,Yes,B.1.526,0,122,0
France,FR,2021-01,GISAID,123772,646,0.5,Yes,B.1.526,0,640,0
Germany,DE,2021-01,GISAID,145511,484,0.3,Yes,B.1.526,0,482,0
Greece,EL,2021-01,GISAID,4639,48,1,Yes,B.1.526,0,48,0
Hungary,HU,2021-01,GISAID,14805,8,0.1,Yes,B.1.526,0,8,0
Iceland,IS,2021-01,GISAID,144,102,70.8,Yes,B.1.526,0,100,0
Ireland,IE,2021-01,GISAID,45726,140,0.3,Yes,B.1.526,0,140,0
Italy,IT,2021-01,GISAID,121045,383,0.3,Yes,B.1.526,0,356,0
Latvia,LV,2021-01,GISAID,7071,3,0,Yes,B.1.526,0,3,0
Liechtenstein,LI,2021-01,GISAID,124,0,0,Yes,B.1.526,0,0,
Lithuania,LT,2021-01,GISAID,12459,122,1,Yes,B.1.526,0,116,0
Luxembourg,LU,2021-01,GISAID,1065,114,10.7,Yes,B.1.526,0,114,0
Malta,MT,2021-01,GISAID,1299,0,0,Yes,B.1.526,0,0,
Netherlands,NL,2021-01,GISAID,57026,787,1.4,Yes,B.1.526,0,786,0
Norway,NO,2021-01,GISAID,4758,265,5.6,Yes,B.1.526,0,265,0
Poland,PL,2021-01,GISAID,67438,57,0.1,Yes,B.1.526,0,57,0
Portugal,PT,2021-01,GISAID,57670,238,0.4,Yes,B.1.526,0,237,0
Romania,RO,2021-01,GISAID,32842,13,0,Yes,B.1.526,0,13,0
Slovakia,SK,2021-01,GISAID,42888,83,0.2,Yes,B.1.526,0,83,0
Slovenia,SI,2021-01,GISAID,11716,120,1,Yes,B.1.526,0,120,0
Spain,ES,2021-01,GISAID,152938,615,0.4,Yes,B.1.526,0,587,0
Sweden,SE,2021-01,GISAID,39455,288,0.7,Yes,B.1.526,0,287,0
Austria,AT,2021-01,GISAID,15133,159,1.1,Yes,B.1.616,0,130,0
Belgium,BE,2021-01,GISAID,14920,287,1.9,Yes,B.1.616,0,287,0
Bulgaria,BG,2021-01,GISAID,5460,56,1,Yes,B.1.616,0,56,0
Croatia,HR,2021-01,GISAID,7265,11,0.2,Yes,B.1.616,0,11,0
Cyprus,CY,2021-01,GISAID,3100,0,0,Yes,B.1.616,0,0,
Czechia,CZ,2021-01,GISAID,88893,201,0.2,Yes,B.1.616,0,200,0
Denmark,DK,2021-01,GISAID,14014,4139,29.5,Yes,B.1.616,0,4139,0
Estonia,EE,2021-01,GISAID,4284,4,0.1,Yes,B.1.616,0,4,0
Finland,FI,2021-01,GISAID,1671,124,7.4,Yes,B.1.616,0,122,0
France,FR,2021-01,GISAID,123772,646,0.5,Yes,B.1.616,0,640,0
Germany,DE,2021-01,GISAID,145511,484,0.3,Yes,B.1.616,0,482,0
Greece,EL,2021-01,GISAID,4639,48,1,Yes,B.1.616,0,48,0
Hungary,HU,2021-01,GISAID,14805,8,0.1,Yes,B.1.616,0,8,0
Iceland,IS,2021-01,GISAID,144,102,70.8,Yes,B.1.616,0,100,0
Ireland,IE,2021-01,GISAID,45726,140,0.3,Yes,B.1.616,0,140,0
Italy,IT,2021-01,GISAID,121045,383,0.3,Yes,B.1.616,0,356,0
Latvia,LV,2021-01,GISAID,7071,3,0,Yes,B.1.616,0,3,0
Latvia,LV,2021-01,TESSy,7071,40,0.6,Yes,B.1.616,0,40,0
Liechtenstein,LI,2021-01,GISAID,124,0,0,Yes,B.1.616,0,0,
Lithuania,LT,2021-01,GISAID,12459,122,1,Yes,B.1.616,0,116,0
Lithuania,LT,2021-01,TESSy,12459,0,0,Yes,B.1.616,0,0,
Luxembourg,LU,2021-01,GISAID,1065,114,10.7,Yes,B.1.616,0,114,0
Malta,MT,2021-01,GISAID,1299,0,0,Yes,B.1.616,0,0,
Netherlands,NL,2021-01,GISAID,57026,787,1.4,Yes,B.1.616,0,786,0
Norway,NO,2021-01,GISAID,4758,265,5.6,Yes,B.1.616,0,265,0
Poland,PL,2021-01,GISAID,67438,57,0.1,Yes,B.1.616,0,57,0
Portugal,PT,2021-01,GISAID,57670,238,0.4,Yes,B.1.616,0,237,0
Romania,RO,2021-01,GISAID,32842,13,0,Yes,B.1.616,0,13,0
Romania,RO,2021-01,TESSy,32842,68,0.2,Yes,B.1.616,0,68,0
Slovakia,SK,2021-01,GISAID,42888,83,0.2,Yes,B.1.616,0,83,0
Slovenia,SI,2021-01,GISAID,11716,120,1,Yes,B.1.616,0,120,0
Spain,ES,2021-01,GISAID,152938,615,0.4,Yes,B.1.616,0,587,0
Sweden,SE,2021-01,GISAID,39455,288,0.7,Yes,B.1.616,0,287,0
Sweden,SE,2021-01,TESSy,39455,344,0.9,Yes,B.1.616,0,344,0
Austria,AT,2021-01,GISAID,15133,159,1.1,Yes,B.1.617,0,130,0
Belgium,BE,2021-01,GISAID,14920,287,1.9,Yes,B.1.617,0,287,0
Bulgaria,BG,2021-01,GISAID,5460,56,1,Yes,B.1.617,0,56,0
Croatia,HR,2021-01,GISAID,7265,11,0.2,Yes,B.1.617,0,11,0
Cyprus,CY,2021-01,GISAID,3100,0,0,Yes,B.1.617,0,0,
Czechia,CZ,2021-01,GISAID,88893,201,0.2,Yes,B.1.617,0,200,0
Denmark,DK,2021-01,GISAID,14014,4139,29.5,Yes,B.1.617,0,4139,0
Estonia,EE,2021-01,GISAID,4284,4,0.1,Yes,B.1.617,0,4,0
Finland,FI,2021-01,GISAID,1671,124,7.4,Yes,B.1.617,0,122,0
France,FR,2021-01,GISAID,123772,646,0.5,Yes,B.1.617,0,640,0
Germany,DE,2021-01,GISAID,145511,484,0.3,Yes,B.1.617,0,482,0
Greece,EL,2021-01,GISAID,4639,48,1,Yes,B.1.617,0,48,0
Hungary,HU,2021-01,GISAID,14805,8,0.1,Yes,B.1.617,0,8,0
Iceland,IS,2021-01,GISAID,144,102,70.8,Yes,B.1.617,0,100,0
Ireland,IE,2021-01,GISAID,45726,140,0.3,Yes,B.1.617,0,140,0
Italy,IT,2021-01,GISAID,121045,383,0.3,Yes,B.1.617,0,356,0
Italy,IT,2021-01,TESSy,121045,738,0.6,Yes,B.1.617,,738,
Latvia,LV,2021-01,GISAID,7071,3,0,Yes,B.1.617,0,3,0
Latvia,LV,2021-01,TESSy,7071,40,0.6,Yes,B.1.617,0,40,0
Liechtenstein,LI,2021-01,GISAID,124,0,0,Yes,B.1.617,0,0,
Lithuania,LT,2021-01,GISAID,12459,122,1,Yes,B.1.617,0,116,0
Lithuania,LT,2021-01,TESSy,12459,0,0,Yes,B.1.617,0,0,
Luxembourg,LU,2021-01,GISAID,1065,114,10.7,Yes,B.1.617,0,114,0
Malta,MT,2021-01,GISAID,1299,0,0,Yes,B.1.617,0,0,
Netherlands,NL,2021-01,GISAID,57026,787,1.4,Yes,B.1.617,0,786,0
Norway,NO,2021-01,GISAID,4758,265,5.6,Yes,B.1.617,0,265,0
Poland,PL,2021-01,GISAID,67438,57,0.1,Yes,B.1.617,0,57,0
Portugal,PT,2021-01,GISAID,57670,238,0.4,Yes,B.1.617,0,237,0
Romania,RO,2021-01,GISAID,32842,13,0,Yes,B.1.617,0,13,0
Romania,RO,2021-01,TESSy,32842,68,0.2,Yes,B.1.617,0,68,0
Slovakia,SK,2021-01,GISAID,42888,83,0.2,Yes,B.1.617,0,83,0
Slovenia,SI,2021-01,GISAID,11716,120,1,Yes,B.1.617,0,120,0
Spain,ES,2021-01,GISAID,152938,615,0.4,Yes,B.1.617,0,587,0
Spain,ES,2021-01,TESSy,152938,681,0.4,Yes,B.1.617,,643,
Sweden,SE,2021-01,GISAID,39455,288,0.7,Yes,B.1.617,0,287,0
Sweden,SE,2021-01,TESSy,39455,344,0.9,Yes,B.1.617,0,344,0
Austria,AT,2021-01,GISAID,15133,159,1.1,Yes,B.1.617.1,0,130,0
Belgium,BE,2021-01,GISAID,14920,287,1.9,Yes,B.1.617.1,0,287,0
Bulgaria,BG,2021-01,GISAID,5460,56,1,Yes,B.1.617.1,0,56,0
Croatia,HR,2021-01,GISAID,7265,11,0.2,Yes,B.1.617.1,0,11,0
Cyprus,CY,2021-01,GISAID,3100,0,0,Yes,B.1.617.1,0,0,
Czechia,CZ,2021-01,GISAID,88893,201,0.2,Yes,B.1.617.1,0,200,0
Denmark,DK,2021-01,GISAID,14014,4139,29.5,Yes,B.1.617.1,0,4139,0
Estonia,EE,2021-01,GISAID,4284,4,0.1,Yes,B.1.617.1,0,4,0
Finland,FI,2021-01,GISAID,1671,124,7.4,Yes,B.1.617.1,0,122,0
France,FR,2021-01,GISAID,123772,646,0.5,Yes,B.1.617.1,0,640,0
Germany,DE,2021-01,GISAID,145511,484,0.3,Yes,B.1.617.1,0,482,0
Greece,EL,2021-01,GISAID,4639,48,1,Yes,B.1.617.1,0,48,0
Hungary,HU,2021-01,GISAID,14805,8,0.1,Yes,B.1.617.1,0,8,0
